sentence,answer
"his name is David , her name is Nicola , my name is Aimee and your name is Carolyn . So his name is [MASK] .",David
"his name is John , her name is Karen , my name is Blake and your name is Aileen . So his name is [MASK] .",John
"his name is Paul , her name is Fiona , my name is Indie and your name is Hannah . So his name is [MASK] .",Paul
"his name is Mark , her name is Susan , my name is Sophie and your name is Blake . So his name is [MASK] .",Mark
"his name is James , her name is Claire , my name is Hugh and your name is Lacey . So his name is [MASK] .",James
"his name is Andrew , her name is Sharon , my name is Morgan and your name is Hope . So his name is [MASK] .",Andrew
"his name is Scott , her name is Angela , my name is Kian and your name is Lucas . So his name is [MASK] .",Scott
"his name is Steven , her name is Gillian , my name is Morven and your name is Alison . So his name is [MASK] .",Steven
"his name is Robert , her name is Julie , my name is Aila and your name is Jayden . So his name is [MASK] .",Robert
"his name is Stephen , her name is Michelle , my name is Zac and your name is Donald . So his name is [MASK] .",Stephen
"his name is William , her name is Jacqueline , my name is Molly and your name is Abbi . So his name is [MASK] .",William
"his name is Craig , her name is Amanda , my name is Kris and your name is Wayne . So his name is [MASK] .",Craig
"his name is Michael , her name is Tracy , my name is Sam and your name is Kaitlin . So his name is [MASK] .",Michael
"his name is Stuart , her name is Louise , my name is Tyler and your name is Kai . So his name is [MASK] .",Stuart
"his name is Christopher , her name is Jennifer , my name is Angela and your name is Alice . So his name is [MASK] .",Christopher
"his name is Alan , her name is Alison , my name is Autumn and your name is Roy . So his name is [MASK] .",Alan
"his name is Colin , her name is Sarah , my name is Brodie and your name is Harvey . So his name is [MASK] .",Colin
"his name is Brian , her name is Donna , my name is Keith and your name is Arthur . So his name is [MASK] .",Brian
"his name is Kevin , her name is Caroline , my name is Mollie and your name is Zachary . So his name is [MASK] .",Kevin
"his name is Gary , her name is Elaine , my name is Cole and your name is Iain . So his name is [MASK] .",Gary
"his name is Richard , her name is Lynn , my name is Nicolle and your name is Jake . So his name is [MASK] .",Richard
"his name is Derek , her name is Margaret , my name is Maisie and your name is Teddy . So his name is [MASK] .",Derek
"his name is Martin , her name is Elizabeth , my name is Gayle and your name is Alexandra . So his name is [MASK] .",Martin
"his name is Thomas , her name is Lesley , my name is Dylan and your name is Max . So his name is [MASK] .",Thomas
"his name is Neil , her name is Deborah , my name is Jemma and your name is Miley . So his name is [MASK] .",Neil
"his name is Barry , her name is Pauline , my name is Hallie and your name is Judith . So his name is [MASK] .",Barry
"his name is Ian , her name is Lorraine , my name is Abby and your name is Gerard . So his name is [MASK] .",Ian
"his name is Jason , her name is Laura , my name is Marion and your name is Arya . So his name is [MASK] .",Jason
"his name is Gordon , her name is Tracey , my name is Lauren and your name is Oliver . So his name is [MASK] .",Gordon
"his name is Alexander , her name is Carol , my name is Victoria and your name is Victoria . So his name is [MASK] .",Alexander
"his name is Peter , her name is Lorna , my name is Edward and your name is Stephanie . So his name is [MASK] .",Peter
"his name is Darren , her name is Catherine , my name is Wesley and your name is Lottie . So his name is [MASK] .",Darren
"his name is Graham , her name is Wendy , my name is Paul and your name is Ronald . So his name is [MASK] .",Graham
"his name is George , her name is Lynne , my name is Sean and your name is Chantelle . So his name is [MASK] .",George
"his name is Kenneth , her name is Yvonne , my name is Hayley and your name is Corey . So his name is [MASK] .",Kenneth
"his name is Allan , her name is Pamela , my name is Duncan and your name is Kirstie . So his name is [MASK] .",Allan
"his name is Simon , her name is Kirsty , my name is Philip and your name is Joanna . So his name is [MASK] .",Simon
"his name is Douglas , her name is Jane , my name is Louie and your name is Zak . So his name is [MASK] .",Douglas
"his name is Keith , her name is Emma , my name is Molly and your name is Duncan . So his name is [MASK] .",Keith
"his name is Lee , her name is Joanne , my name is Ariana and your name is Luke . So his name is [MASK] .",Lee
"his name is Anthony , her name is Heather , my name is Allan and your name is Keiran . So his name is [MASK] .",Anthony
"his name is Grant , her name is Suzanne , my name is Malcolm and your name is Jayden . So his name is [MASK] .",Grant
"his name is Ross , her name is Anne , my name is Calum and your name is Joey . So his name is [MASK] .",Ross
"his name is Jonathan , her name is Diane , my name is Rosa and your name is Bailey . So his name is [MASK] .",Jonathan
"his name is Gavin , her name is Helen , my name is Cooper and your name is Nina . So his name is [MASK] .",Gavin
"his name is Nicholas , her name is Victoria , my name is Oscar and your name is William . So his name is [MASK] .",Nicholas
"his name is Joseph , her name is Dawn , my name is Shay and your name is Myla . So his name is [MASK] .",Joseph
"his name is Stewart , her name is Mary , my name is Hugh and your name is Shay . So his name is [MASK] .",Stewart
