sentence,answer
my name is David and your name is Willow . So my name is [MASK] .,David
my name is John and your name is Carrie . So my name is [MASK] .,John
my name is Paul and your name is Francis . So my name is [MASK] .,Paul
my name is Mark and your name is Paul . So my name is [MASK] .,Mark
my name is James and your name is Ivy . So my name is [MASK] .,James
my name is Andrew and your name is Kyle . So my name is [MASK] .,Andrew
my name is Scott and your name is Douglas . So my name is [MASK] .,Scott
my name is Steven and your name is Daisy . So my name is [MASK] .,Steven
my name is Robert and your name is Corey . So my name is [MASK] .,Robert
my name is Stephen and your name is Anthony . So my name is [MASK] .,Stephen
my name is William and your name is Derek . So my name is [MASK] .,William
my name is Craig and your name is Allison . So my name is [MASK] .,Craig
my name is Michael and your name is Brooke . So my name is [MASK] .,Michael
my name is Stuart and your name is Joe . So my name is [MASK] .,Stuart
my name is Christopher and your name is Courtney . So my name is [MASK] .,Christopher
my name is Alan and your name is Aaron . So my name is [MASK] .,Alan
my name is Colin and your name is Georgia . So my name is [MASK] .,Colin
my name is Brian and your name is Allison . So my name is [MASK] .,Brian
my name is Kevin and your name is Douglas . So my name is [MASK] .,Kevin
my name is Gary and your name is Russell . So my name is [MASK] .,Gary
my name is Richard and your name is Lucy . So my name is [MASK] .,Richard
my name is Derek and your name is Hunter . So my name is [MASK] .,Derek
my name is Martin and your name is Theodore . So my name is [MASK] .,Martin
my name is Thomas and your name is Martin . So my name is [MASK] .,Thomas
my name is Neil and your name is Henry . So my name is [MASK] .,Neil
my name is Barry and your name is Carter . So my name is [MASK] .,Barry
my name is Ian and your name is Melissa . So my name is [MASK] .,Ian
my name is Jason and your name is Sara . So my name is [MASK] .,Jason
my name is Gordon and your name is Chelsea . So my name is [MASK] .,Gordon
my name is Alexander and your name is Simon . So my name is [MASK] .,Alexander
my name is Peter and your name is Alicia . So my name is [MASK] .,Peter
my name is Darren and your name is Francis . So my name is [MASK] .,Darren
my name is Graham and your name is Jordan . So my name is [MASK] .,Graham
my name is George and your name is Ada . So my name is [MASK] .,George
my name is Kenneth and your name is Alexander . So my name is [MASK] .,Kenneth
my name is Allan and your name is Hunter . So my name is [MASK] .,Allan
my name is Simon and your name is Marion . So my name is [MASK] .,Simon
my name is Douglas and your name is Fiona . So my name is [MASK] .,Douglas
my name is Keith and your name is Valerie . So my name is [MASK] .,Keith
my name is Lee and your name is Raymond . So my name is [MASK] .,Lee
my name is Anthony and your name is Mason . So my name is [MASK] .,Anthony
my name is Grant and your name is Alan . So my name is [MASK] .,Grant
my name is Ross and your name is Carolyn . So my name is [MASK] .,Ross
my name is Jonathan and your name is William . So my name is [MASK] .,Jonathan
my name is Gavin and your name is Caleb . So my name is [MASK] .,Gavin
my name is Nicholas and your name is Oliver . So my name is [MASK] .,Nicholas
my name is Joseph and your name is Casey . So my name is [MASK] .,Joseph
my name is Stewart and your name is Darren . So my name is [MASK] .,Stewart
my name is Daniel and your name is Charlie . So my name is [MASK] .,Daniel
my name is Edward and your name is Kathryn . So my name is [MASK] .,Edward
my name is Matthew and your name is Calvin . So my name is [MASK] .,Matthew
my name is Donald and your name is Max . So my name is [MASK] .,Donald
my name is Fraser and your name is Evan . So my name is [MASK] .,Fraser
my name is Garry and your name is Roy . So my name is [MASK] .,Garry
my name is Malcolm and your name is Kenneth . So my name is [MASK] .,Malcolm
my name is Charles and your name is Gabriel . So my name is [MASK] .,Charles
my name is Duncan and your name is Jill . So my name is [MASK] .,Duncan
my name is Raymond and your name is Diane . So my name is [MASK] .,Raymond
my name is Philip and your name is Liam . So my name is [MASK] .,Philip
my name is Ronald and your name is Mary . So my name is [MASK] .,Ronald
my name is Ryan and your name is Kathleen . So my name is [MASK] .,Ryan
my name is Francis and your name is Sonny . So my name is [MASK] .,Francis
my name is Bruce and your name is Elaine . So my name is [MASK] .,Bruce
