sentence,answer
"Jordan is the son of Madison , Audrey is the daughter of Neil , Marcus is the son of Isaac , and Bailey is the son of Robbie , So Madison is the parent of [MASK] .",Jordan
"Grayson is the son of Alexandra , Arthur is the son of Luke , Julia is the daughter of Kim , and Hannah is the daughter of Ellen , So Alexandra is the parent of [MASK] .",Grayson
"Paige is the daughter of Andrea , Henry is the son of Jessica , Lindsay is the daughter of Alexander , and Lindsey is the daughter of Stacy , So Andrea is the parent of [MASK] .",Paige
"Colin is the son of Sophia , Leigh is the daughter of Grace , Richard is the son of Caroline , and Henry is the son of Alex , So Sophia is the parent of [MASK] .",Colin
"Kimberly is the daughter of Richard , Jill is the daughter of Margaret , Gareth is the son of Chloe , and Audrey is the daughter of Daniel , So Richard is the parent of [MASK] .",Kimberly
"Amy is the daughter of Paige , Gerald is the son of Aaron , Stewart is the son of Autumn , and Fraser is the son of Taylor , So Paige is the parent of [MASK] .",Amy
"Lee is the son of George , Ronald is the son of Kerry , Nathan is the son of Alex , and Sarah is the daughter of Justin , So George is the parent of [MASK] .",Lee
"Jon is the son of Alison , Raymond is the son of Grayson , Richard is the son of Maya , and Alex is the son of Zac , So Alison is the parent of [MASK] .",Jon
"Alexis is the daughter of Danielle , Kimberly is the daughter of Anne , Harvey is the son of Abby , and Craig is the son of Judith , So Danielle is the parent of [MASK] .",Alexis
"Courtney is the daughter of Patricia , Quinn is the daughter of Amelia , Jennifer is the daughter of Nina , and Duncan is the son of Amber , So Patricia is the parent of [MASK] .",Courtney
"Autumn is the daughter of Melanie , Margaret is the daughter of Jude , Nova is the daughter of Charlotte , and Grant is the son of Josh , So Melanie is the parent of [MASK] .",Autumn
"Shirley is the daughter of Faith , Samuel is the son of Maya , Raymond is the son of Amelia , and Noah is the son of Scarlett , So Faith is the parent of [MASK] .",Shirley
"Blake is the son of Alexandra , Paige is the daughter of Fraser , Brooke is the daughter of Ada , and Joe is the son of Charlotte , So Alexandra is the parent of [MASK] .",Blake
"Michael is the son of Tommy , Robin is the son of Heather , Eve is the daughter of Hunter , and Nicole is the daughter of Denise , So Tommy is the parent of [MASK] .",Michael
"Lindsey is the daughter of Grace , Carol is the daughter of Rory , Cheryl is the daughter of Jordan , and Pamela is the daughter of Peter , So Grace is the parent of [MASK] .",Lindsey
"Amanda is the daughter of Eve , Lily is the daughter of Gareth , Jessica is the daughter of Catherine , and John is the son of Jordan , So Eve is the parent of [MASK] .",Amanda
"Shaun is the son of Keith , Rory is the son of Leah , Caroline is the daughter of Diane , and Robert is the son of Liam , So Keith is the parent of [MASK] .",Shaun
"Joey is the son of Alex , Sara is the daughter of Wayne , Mohammed is the son of Carolyn , and Eve is the daughter of Rebecca , So Alex is the parent of [MASK] .",Joey
"Craig is the son of Alison , Dawn is the daughter of Jennifer , Sonny is the son of Wendy , and Grace is the daughter of Charlotte , So Alison is the parent of [MASK] .",Craig
"Jon is the son of Elizabeth , Elise is the daughter of Kara , Gareth is the son of Cole , and Georgia is the daughter of Murray , So Elizabeth is the parent of [MASK] .",Jon
"Sophie is the daughter of Oscar , Josh is the son of Lena , Archie is the son of Judith , and Louie is the son of Nina , So Oscar is the parent of [MASK] .",Sophie
"Bailey is the son of Samuel , Megan is the daughter of Adam , Leo is the son of Scarlett , and Craig is the son of Alan , So Samuel is the parent of [MASK] .",Bailey
"Francis is the son of Joe , Bonnie is the daughter of Brandon , Nicola is the daughter of Charlie , and Ian is the son of Teddy , So Joe is the parent of [MASK] .",Francis
"Allison is the daughter of Ethan , Barry is the son of Nikki , Charlotte is the daughter of Aaron , and Summer is the daughter of Kerry , So Ethan is the parent of [MASK] .",Allison
"Aaron is the son of Ivy , Robbie is the son of Amanda , Daryl is the son of Neil , and Lee is the son of Quinn , So Ivy is the parent of [MASK] .",Aaron
"Julia is the daughter of Russell , Roy is the son of Christine , Alice is the daughter of Harris , and Daryl is the son of Logan , So Russell is the parent of [MASK] .",Julia
"Autumn is the daughter of Gavin , Sara is the daughter of Nicola , Lucy is the daughter of Luna , and Andrew is the son of Lynn , So Gavin is the parent of [MASK] .",Autumn
"Sam is the son of Kelly , Leigh is the daughter of Tyler , Shirley is the daughter of Charles , and Lauren is the daughter of Piper , So Kelly is the parent of [MASK] .",Sam
"Debbie is the daughter of Lois , Benjamin is the son of Scott , Jane is the daughter of Heather , and Laura is the daughter of Samantha , So Lois is the parent of [MASK] .",Debbie
"Charlie is the son of Lily , Murray is the son of Ian , Caroline is the daughter of Molly , and Madison is the daughter of Erin , So Lily is the parent of [MASK] .",Charlie
"Alison is the daughter of Jade , Hanna is the daughter of Marion , Hunter is the son of Graham , and Hannah is the daughter of Lilly , So Jade is the parent of [MASK] .",Alison
"Alison is the daughter of Grant , Duncan is the son of Ross , Gareth is the son of Michael , and Jude is the son of Madison , So Grant is the parent of [MASK] .",Alison
"Michael is the son of Rebecca , Gareth is the son of Hugh , Julia is the daughter of Hanna , and Diane is the daughter of Sarah , So Rebecca is the parent of [MASK] .",Michael
"Amy is the daughter of Frank , Marion is the daughter of Bryan , Allison is the daughter of Caleb , and Evan is the son of Garry , So Frank is the parent of [MASK] .",Amy
"Eleanor is the daughter of Fiona , Nikki is the daughter of Lois , Shirley is the daughter of Danielle , and Jennifer is the daughter of Melissa , So Fiona is the parent of [MASK] .",Eleanor
"Liam is the son of Hope , Bailey is the son of Edward , Carly is the daughter of Shaun , and Lara is the daughter of Heather , So Hope is the parent of [MASK] .",Liam
"Norman is the son of Chloe , Dale is the son of Linda , Lynn is the daughter of Ben , and Lara is the daughter of Eleanor , So Chloe is the parent of [MASK] .",Norman
"Carter is the son of Naomi , David is the son of Oliver , Suzanne is the daughter of Samantha , and Diane is the daughter of Laura , So Naomi is the parent of [MASK] .",Carter
"Jamie is the son of Hunter , Evan is the son of Catherine , Shaun is the son of Julia , and Carol is the daughter of Tracy , So Hunter is the parent of [MASK] .",Jamie
"Cole is the son of Josh , Robin is the son of Colin , Ruth is the daughter of Hugh , and Harris is the son of Taylor , So Josh is the parent of [MASK] .",Cole
"Angela is the daughter of Jackson , Jennifer is the daughter of James , Ann is the daughter of Claire , and Sophie is the daughter of Hayden , So Jackson is the parent of [MASK] .",Angela
"Autumn is the daughter of Clara , Amber is the daughter of Mia , Katie is the daughter of Bruce , and Paige is the daughter of Steven , So Clara is the parent of [MASK] .",Autumn
"Danielle is the daughter of Sara , Hunter is the son of Teddy , Connor is the son of Max , and Natalie is the daughter of Benjamin , So Sara is the parent of [MASK] .",Danielle
"Gary is the son of Anna , Clare is the daughter of Conor , Faith is the daughter of Hugh , and Joseph is the son of Maria , So Anna is the parent of [MASK] .",Gary
