sentence,answer
"Daniel feels happy , Mary feels angry , Sarah feels scared and Joe feels confused . Daniel feels [MASK] .",happy
"Joe feels bored , Mary feels angry , Alex feels sad and Daniel feels confused . Joe feels [MASK] .",bored
"Mary feels angry , Daniel feels sad , Jack feels bored and Alex feels scared . Mary feels [MASK] .",angry
"Joe feels bored , Alex feels angry , Sarah feels confused and Mary feels sad . Joe feels [MASK] .",bored
"Jack feels angry , Daniel feels bored , Joe feels scared and Sarah feels confused . Jack feels [MASK] .",angry
"Mary feels confused , Jack feels sad , Alex feels bored and Daniel feels happy . Mary feels [MASK] .",confused
"Alex feels scared , Sarah feels angry , Mary feels sad and Joe feels confused . Alex feels [MASK] .",scared
"Sarah feels angry , Joe feels sad , Alex feels confused and Jack feels happy . Sarah feels [MASK] .",angry
"Sarah feels confused , Mary feels scared , Joe feels angry and Daniel feels happy . Sarah feels [MASK] .",confused
"Jack feels angry , Sarah feels happy , Mary feels sad and Daniel feels scared . Jack feels [MASK] .",angry
"Alex feels bored , Joe feels angry , Daniel feels confused and Sarah feels sad . Alex feels [MASK] .",bored
"Sarah feels bored , Daniel feels sad , Joe feels confused and Mary feels happy . Sarah feels [MASK] .",bored
"Sarah feels confused , Jack feels sad , Joe feels happy and Mary feels angry . Sarah feels [MASK] .",confused
"Jack feels happy , Sarah feels sad , Daniel feels angry and Mary feels scared . Jack feels [MASK] .",happy
"Joe feels sad , Mary feels bored , Daniel feels angry and Sarah feels happy . Joe feels [MASK] .",sad
"Sarah feels bored , Joe feels scared , Mary feels happy and Alex feels sad . Sarah feels [MASK] .",bored
"Daniel feels confused , Joe feels sad , Jack feels happy and Alex feels scared . Daniel feels [MASK] .",confused
"Daniel feels bored , Sarah feels happy , Mary feels scared and Joe feels sad . Daniel feels [MASK] .",bored
"Joe feels confused , Mary feels sad , Alex feels angry and Daniel feels scared . Joe feels [MASK] .",confused
"Mary feels confused , Joe feels scared , Alex feels angry and Daniel feels sad . Mary feels [MASK] .",confused
"Daniel feels sad , Joe feels bored , Jack feels happy and Mary feels scared . Daniel feels [MASK] .",sad
"Jack feels sad , Joe feels confused , Mary feels angry and Alex feels happy . Jack feels [MASK] .",sad
"Mary feels scared , Alex feels bored , Joe feels sad and Daniel feels angry . Mary feels [MASK] .",scared
"Daniel feels scared , Jack feels sad , Alex feels confused and Sarah feels happy . Daniel feels [MASK] .",scared
"Daniel feels confused , Sarah feels scared , Alex feels happy and Jack feels bored . Daniel feels [MASK] .",confused
"Sarah feels happy , Mary feels scared , Jack feels bored and Daniel feels confused . Sarah feels [MASK] .",happy
"Mary feels angry , Alex feels sad , Sarah feels happy and Joe feels confused . Mary feels [MASK] .",angry
"Jack feels sad , Sarah feels angry , Alex feels happy and Daniel feels scared . Jack feels [MASK] .",sad
"Joe feels bored , Sarah feels sad , Mary feels confused and Daniel feels happy . Joe feels [MASK] .",bored
"Sarah feels bored , Mary feels scared , Alex feels confused and Joe feels happy . Sarah feels [MASK] .",bored
"Mary feels bored , Sarah feels confused , Jack feels happy and Joe feels scared . Mary feels [MASK] .",bored
"Jack feels happy , Alex feels angry , Joe feels sad and Daniel feels scared . Jack feels [MASK] .",happy
"Sarah feels happy , Jack feels bored , Joe feels confused and Alex feels scared . Sarah feels [MASK] .",happy
"Alex feels sad , Sarah feels happy , Daniel feels scared and Mary feels angry . Alex feels [MASK] .",sad
"Alex feels bored , Mary feels scared , Sarah feels happy and Joe feels sad . Alex feels [MASK] .",bored
"Alex feels sad , Mary feels scared , Jack feels angry and Daniel feels happy . Alex feels [MASK] .",sad
"Joe feels scared , Daniel feels angry , Jack feels sad and Sarah feels bored . Joe feels [MASK] .",scared
"Daniel feels happy , Joe feels bored , Mary feels scared and Jack feels sad . Daniel feels [MASK] .",happy
"Sarah feels happy , Alex feels sad , Daniel feels angry and Joe feels confused . Sarah feels [MASK] .",happy
"Alex feels scared , Joe feels confused , Sarah feels bored and Mary feels sad . Alex feels [MASK] .",scared
"Jack feels happy , Daniel feels sad , Sarah feels scared and Joe feels confused . Jack feels [MASK] .",happy
"Joe feels sad , Jack feels confused , Mary feels happy and Alex feels bored . Joe feels [MASK] .",sad
"Mary feels sad , Sarah feels bored , Jack feels confused and Alex feels happy . Mary feels [MASK] .",sad
"Jack feels bored , Mary feels scared , Joe feels angry and Daniel feels confused . Jack feels [MASK] .",bored
"Alex feels bored , Joe feels sad , Mary feels angry and Sarah feels confused . Alex feels [MASK] .",bored
"Daniel feels scared , Sarah feels happy , Mary feels sad and Joe feels angry . Daniel feels [MASK] .",scared
"Alex feels bored , Jack feels confused , Daniel feels happy and Mary feels scared . Alex feels [MASK] .",bored
"Daniel feels angry , Jack feels happy , Alex feels scared and Mary feels bored . Daniel feels [MASK] .",angry
"Jack feels scared , Alex feels confused , Sarah feels angry and Mary feels bored . Jack feels [MASK] .",scared
"Mary feels confused , Joe feels bored , Alex feels scared and Daniel feels angry . Mary feels [MASK] .",confused
"Jack feels angry , Mary feels confused , Sarah feels bored and Daniel feels scared . Jack feels [MASK] .",angry
"Joe feels angry , Mary feels confused , Sarah feels bored and Alex feels happy . Joe feels [MASK] .",angry
"Jack feels confused , Sarah feels sad , Mary feels angry and Joe feels happy . Jack feels [MASK] .",confused
"Mary feels angry , Sarah feels scared , Daniel feels sad and Alex feels bored . Mary feels [MASK] .",angry
