sentence,answer
"his name is David , her name is Nicola , my name is Sienna and your name is Allan . So his name is [MASK] .",David
"his name is John , her name is Karen , my name is Lynne and your name is Piper . So his name is [MASK] .",John
"his name is Paul , her name is Fiona , my name is Niamh and your name is Amanda . So his name is [MASK] .",Paul
"his name is Mark , her name is Susan , my name is Ariana and your name is Gillian . So his name is [MASK] .",Mark
"his name is James , her name is Claire , my name is Marie and your name is Kiera . So his name is [MASK] .",James
"his name is Andrew , her name is Sharon , my name is Jordan and your name is Gregor . So his name is [MASK] .",Andrew
"his name is Scott , her name is Angela , my name is Gillian and your name is Catherine . So his name is [MASK] .",Scott
"his name is Steven , her name is Gillian , my name is Elaine and your name is Alicia . So his name is [MASK] .",Steven
"his name is Robert , her name is Julie , my name is Cara and your name is Louis . So his name is [MASK] .",Robert
"his name is Stephen , her name is Michelle , my name is Lindsey and your name is Michaela . So his name is [MASK] .",Stephen
"his name is William , her name is Jacqueline , my name is Josh and your name is Lucy . So his name is [MASK] .",William
"his name is Craig , her name is Amanda , my name is Aaron and your name is Finlay . So his name is [MASK] .",Craig
"his name is Michael , her name is Tracy , my name is Abby and your name is Neve . So his name is [MASK] .",Michael
"his name is Stuart , her name is Louise , my name is Kristopher and your name is Leigh . So his name is [MASK] .",Stuart
"his name is Christopher , her name is Jennifer , my name is Violet and your name is Jay . So his name is [MASK] .",Christopher
"his name is Alan , her name is Alison , my name is Willow and your name is Ian . So his name is [MASK] .",Alan
"his name is Colin , her name is Sarah , my name is Janet and your name is Ellen . So his name is [MASK] .",Colin
"his name is Brian , her name is Donna , my name is Janet and your name is Mhairi . So his name is [MASK] .",Brian
"his name is Kevin , her name is Caroline , my name is Alexandra and your name is Clare . So his name is [MASK] .",Kevin
"his name is Gary , her name is Elaine , my name is Leanne and your name is Jax . So his name is [MASK] .",Gary
"his name is Richard , her name is Lynn , my name is Andrea and your name is Luke . So his name is [MASK] .",Richard
"his name is Derek , her name is Margaret , my name is Duncan and your name is Lewis . So his name is [MASK] .",Derek
"his name is Martin , her name is Elizabeth , my name is Duncan and your name is Zoe . So his name is [MASK] .",Martin
"his name is Thomas , her name is Lesley , my name is Eleanor and your name is Amy . So his name is [MASK] .",Thomas
"his name is Neil , her name is Deborah , my name is Antony and your name is Greg . So his name is [MASK] .",Neil
"his name is Barry , her name is Pauline , my name is Frankie and your name is Kyle . So his name is [MASK] .",Barry
"his name is Ian , her name is Lorraine , my name is Maya and your name is Harper . So his name is [MASK] .",Ian
"his name is Jason , her name is Laura , my name is Mirren and your name is Gail . So his name is [MASK] .",Jason
"his name is Gordon , her name is Tracey , my name is Kian and your name is Lewis . So his name is [MASK] .",Gordon
"his name is Alexander , her name is Carol , my name is Danielle and your name is Lillie . So his name is [MASK] .",Alexander
"his name is Peter , her name is Lorna , my name is Adam and your name is Nina . So his name is [MASK] .",Peter
"his name is Darren , her name is Catherine , my name is Autumn and your name is Naomi . So his name is [MASK] .",Darren
"his name is Graham , her name is Wendy , my name is Hugh and your name is Blake . So his name is [MASK] .",Graham
"his name is George , her name is Lynne , my name is Mackenzie and your name is Jonathan . So his name is [MASK] .",George
"his name is Kenneth , her name is Yvonne , my name is Charley and your name is Yvonne . So his name is [MASK] .",Kenneth
"his name is Allan , her name is Pamela , my name is Michelle and your name is Julia . So his name is [MASK] .",Allan
"his name is Simon , her name is Kirsty , my name is Jasmine and your name is Georgia . So his name is [MASK] .",Simon
"his name is Douglas , her name is Jane , my name is Caroline and your name is Alexandra . So his name is [MASK] .",Douglas
"his name is Keith , her name is Emma , my name is Nicole and your name is Iona . So his name is [MASK] .",Keith
"his name is Lee , her name is Joanne , my name is Leigh and your name is Kian . So his name is [MASK] .",Lee
"his name is Anthony , her name is Heather , my name is Edward and your name is Yvonne . So his name is [MASK] .",Anthony
"his name is Grant , her name is Suzanne , my name is James and your name is Richard . So his name is [MASK] .",Grant
"his name is Ross , her name is Anne , my name is Sarah and your name is Madison . So his name is [MASK] .",Ross
"his name is Jonathan , her name is Diane , my name is Myles and your name is Julie . So his name is [MASK] .",Jonathan
"his name is Gavin , her name is Helen , my name is Sharon and your name is Lara . So his name is [MASK] .",Gavin
"his name is Nicholas , her name is Victoria , my name is Catherine and your name is Kayleigh . So his name is [MASK] .",Nicholas
"his name is Joseph , her name is Dawn , my name is Leon and your name is Robyn . So his name is [MASK] .",Joseph
"his name is Stewart , her name is Mary , my name is Catriona and your name is Norman . So his name is [MASK] .",Stewart
"his name is Daniel , her name is Samantha , my name is Anne and your name is Paul . So his name is [MASK] .",Daniel
"his name is Edward , her name is Marie , my name is Jack and your name is Jemma . So his name is [MASK] .",Edward
"his name is Matthew , her name is Kerry , my name is Rory and your name is Gary . So his name is [MASK] .",Matthew
"his name is Donald , her name is Ann , my name is Jade and your name is Donna . So his name is [MASK] .",Donald
"his name is Fraser , her name is Hazel , my name is Sinead and your name is Christine . So his name is [MASK] .",Fraser
"his name is Garry , her name is Christine , my name is Rose and your name is Kyle . So his name is [MASK] .",Garry
"his name is Malcolm , her name is Gail , my name is Owen and your name is Willow . So his name is [MASK] .",Malcolm
"his name is Charles , her name is Andrea , my name is Arthur and your name is Abbie . So his name is [MASK] .",Charles
"his name is Duncan , her name is Clare , my name is Ruairidh and your name is Indie . So his name is [MASK] .",Duncan
"his name is Raymond , her name is Shona , my name is Caitlin and your name is Remi . So his name is [MASK] .",Raymond
"his name is Philip , her name is Kathleen , my name is Louise and your name is Leon . So his name is [MASK] .",Philip
"his name is Ronald , her name is Paula , my name is Millie and your name is Ruby . So his name is [MASK] .",Ronald
"his name is Ryan , her name is Denise , my name is Greig and your name is Florence . So his name is [MASK] .",Ryan
"his name is Francis , her name is Melanie , my name is Kayleigh and your name is Rebekah . So his name is [MASK] .",Francis
"his name is Bruce , her name is Patricia , my name is Megan and your name is Alasdair . So his name is [MASK] .",Bruce
"his name is Patrick , her name is Audrey , my name is Ben and your name is George . So his name is [MASK] .",Patrick
"his name is Bryan , her name is Jill , my name is Frank and your name is Penelope . So his name is [MASK] .",Bryan
"his name is Marc , her name is Lee , my name is Tyler and your name is Kirsteen . So his name is [MASK] .",Marc
"his name is Jamie , her name is Leigh , my name is Lois and your name is Willow . So his name is [MASK] .",Jamie
"his name is Hugh , her name is Catriona , my name is Lily and your name is Rory . So his name is [MASK] .",Hugh
"his name is Gerard , her name is Morag , my name is Archie and your name is Andrew . So his name is [MASK] .",Gerard
"his name is Sean , her name is Kirsten , my name is Elle and your name is Angela . So his name is [MASK] .",Sean
"his name is Wayne , her name is Kirsteen , my name is Elsie and your name is Eden . So his name is [MASK] .",Wayne
"his name is Adam , her name is Katrina , my name is Alyssa and your name is Kenzie . So his name is [MASK] .",Adam
"his name is Robin , her name is Cheryl , my name is Frankie and your name is Toni . So his name is [MASK] .",Robin
"his name is Angus , her name is Maureen , my name is Abigail and your name is Lynne . So his name is [MASK] .",Angus
"his name is Russell , her name is Janet , my name is Kim and your name is Kayla . So his name is [MASK] .",Russell
"his name is Cameron , her name is Aileen , my name is Isla and your name is Derek . So his name is [MASK] .",Cameron
"his name is Norman , her name is Zoe , my name is Maureen and your name is Hallie . So his name is [MASK] .",Norman
"his name is Murray , her name is Lindsay , my name is Philip and your name is Lola . So his name is [MASK] .",Murray
"his name is Gareth , her name is Stephanie , my name is Beth and your name is Logan . So his name is [MASK] .",Gareth
"his name is Dean , her name is Judith , my name is Robert and your name is Lilly . So his name is [MASK] .",Dean
"his name is Eric , her name is Mandy , my name is Malcolm and your name is Gabriel . So his name is [MASK] .",Eric
"his name is Adrian , her name is Jillian , my name is Kris and your name is Scott . So his name is [MASK] .",Adrian
"his name is Samuel , her name is Barbara , my name is Toni and your name is Eilidh . So his name is [MASK] .",Samuel
"his name is Gerald , her name is Carolyn , my name is Kelsey and your name is Sofia . So his name is [MASK] .",Gerald
"his name is Henry , her name is Gayle , my name is Ewan and your name is Robyn . So his name is [MASK] .",Henry
"his name is Justin , her name is Maria , my name is Thea and your name is Roy . So his name is [MASK] .",Justin
"his name is Benjamin , her name is Valerie , my name is Donna and your name is Frankie . So his name is [MASK] .",Benjamin
"his name is Shaun , her name is Christina , my name is Judith and your name is Janet . So his name is [MASK] .",Shaun
"his name is Campbell , her name is Kelly , my name is Conner and your name is Jill . So his name is [MASK] .",Campbell
"his name is Frank , her name is Allison , my name is Alex and your name is Leon . So his name is [MASK] .",Frank
"his name is Roy , her name is Kim , my name is Lee and your name is Rachel . So his name is [MASK] .",Roy
"his name is Timothy , her name is Anna , my name is Mohammed and your name is Logan . So his name is [MASK] .",Timothy
"his name is Greg , her name is Rebecca , my name is Ellie and your name is Eric . So his name is [MASK] .",Greg
"his name is Liam , her name is Katherine , my name is Kimberly and your name is Elijah . So his name is [MASK] .",Liam
"his name is Rory , her name is Natalie , my name is Grant and your name is Mia . So his name is [MASK] .",Rory
"his name is Wesley , her name is Ashley , my name is Luke and your name is Gordon . So his name is [MASK] .",Wesley
"his name is Kris , her name is Vicky , my name is Jane and your name is Lyndsey . So his name is [MASK] .",Kris
"his name is Lewis , her name is Stacey , my name is Shirley and your name is Reece . So his name is [MASK] .",Lewis
"his name is Jon , her name is Amy , my name is Amelie and your name is Evan . So his name is [MASK] .",Jon
"his name is Aaron , her name is Carrie , my name is Deborah and your name is Sofia . So his name is [MASK] .",Aaron
"his name is Blair , her name is Lyndsey , my name is Noah and your name is Mitchell . So his name is [MASK] .",Blair
"his name is Dale , her name is Lindsey , my name is Angus and your name is Samantha . So his name is [MASK] .",Dale
"his name is Jordan , her name is Sara , my name is Maisie and your name is Linsey . So his name is [MASK] .",Jordan
"his name is Mohammed , her name is Lyndsay , my name is Tommy and your name is Zoe . So his name is [MASK] .",Mohammed
"his name is Ben , her name is Charlene , my name is Charles and your name is Ewan . So his name is [MASK] .",Ben
"his name is Kyle , her name is Shelley , my name is Thomas and your name is Eden . So his name is [MASK] .",Kyle
"his name is Jack , her name is Lauren , my name is Nathan and your name is Alexis . So his name is [MASK] .",Jack
"his name is Luke , her name is Kimberley , my name is Nicola and your name is Wesley . So his name is [MASK] .",Luke
"his name is Sam , her name is Danielle , my name is Adele and your name is Charlie . So his name is [MASK] .",Sam
"his name is Joshua , her name is Natasha , my name is Stacy and your name is Sonny . So his name is [MASK] .",Joshua
"his name is Nathan , her name is Eilidh , my name is Freya and your name is Rhiannon . So his name is [MASK] .",Nathan
"his name is Daryl , her name is Hayley , my name is Jillian and your name is Stephanie . So his name is [MASK] .",Daryl
"his name is Robbie , her name is Melissa , my name is Aileen and your name is Casey . So his name is [MASK] .",Robbie
"his name is Connor , her name is Alana , my name is Kelsey and your name is Kara . So his name is [MASK] .",Connor
"his name is Conor , her name is Adele , my name is Lynn and your name is Freddie . So his name is [MASK] .",Conor
"his name is Owen , her name is Siobhan , my name is Donna and your name is Kieran . So his name is [MASK] .",Owen
"his name is Dylan , her name is Jenna , my name is Blake and your name is Eleanor . So his name is [MASK] .",Dylan
"his name is Josh , her name is Nicole , my name is Helen and your name is Beth . So his name is [MASK] .",Josh
"his name is Jake , her name is Rachael , my name is Maureen and your name is James . So his name is [MASK] .",Jake
"his name is Harry , her name is Jade , my name is Pauline and your name is Morgan . So his name is [MASK] .",Harry
"his name is Bradley , her name is Kayleigh , my name is Elaine and your name is Lillie . So his name is [MASK] .",Bradley
"his name is Brandon , her name is Jemma , my name is Bethany and your name is Owen . So his name is [MASK] .",Brandon
"his name is Taylor , her name is Charlotte , my name is Leanne and your name is Luke . So his name is [MASK] .",Taylor
"his name is Jay , her name is Emily , my name is Casey and your name is Gavin . So his name is [MASK] .",Jay
"his name is Calvin , her name is Kylie , my name is Julie and your name is Daniel . So his name is [MASK] .",Calvin
"his name is Joe , her name is Linzi , my name is Eleanor and your name is Jane . So his name is [MASK] .",Joe
"his name is Dominic , her name is Carly , my name is Lindsay and your name is Libby . So his name is [MASK] .",Dominic
"his name is Ethan , her name is Robyn , my name is Jemma and your name is Bethany . So his name is [MASK] .",Ethan
"his name is Charlie , her name is Michaela , my name is Aileen and your name is Isaac . So his name is [MASK] .",Charlie
"his name is Jacob , her name is Sophie , my name is Mandy and your name is Rebekah . So his name is [MASK] .",Jacob
"his name is Max , her name is Jessica , my name is Norman and your name is Sean . So his name is [MASK] .",Max
"his name is Morgan , her name is Sinead , my name is Rose and your name is Hope . So his name is [MASK] .",Morgan
"his name is Logan , her name is Caitlin , my name is Raymond and your name is Kieran . So his name is [MASK] .",Logan
"his name is Louis , her name is Kerri , my name is Ruairidh and your name is Ollie . So his name is [MASK] .",Louis
"his name is Marcus , her name is Alexandra , my name is Sophia and your name is Diane . So his name is [MASK] .",Marcus
"his name is Mitchell , her name is Aimee , my name is Kirsteen and your name is Kirstie . So his name is [MASK] .",Mitchell
"his name is Oliver , her name is Kirstie , my name is Michelle and your name is Ellis . So his name is [MASK] .",Oliver
"his name is Leon , her name is Naomi , my name is Harvey and your name is Joey . So his name is [MASK] .",Leon
"his name is Tyler , her name is Cara , my name is Orla and your name is Murray . So his name is [MASK] .",Tyler
"his name is Kai , her name is Demi , my name is Georgia and your name is Andrea . So his name is [MASK] .",Kai
"his name is Lucas , her name is Jordan , my name is Ruby and your name is Cameron . So his name is [MASK] .",Lucas
"his name is Evan , her name is Alice , my name is Luke and your name is Amy . So his name is [MASK] .",Evan
"his name is Alex , her name is Rebekah , my name is Russell and your name is Benjamin . So his name is [MASK] .",Alex
"his name is Finn , her name is Hollie , my name is Megan and your name is Margaret . So his name is [MASK] .",Finn
"his name is Leo , her name is Amber , my name is Harley and your name is Anna . So his name is [MASK] .",Leo
"his name is Archie , her name is Bethany , my name is Kimberley and your name is Iona . So his name is [MASK] .",Archie
"his name is Harris , her name is Toni , my name is Rose and your name is Wendy . So his name is [MASK] .",Harris
"his name is Cole , her name is Taylor , my name is Lilly and your name is Sam . So his name is [MASK] .",Cole
"his name is Noah , her name is Chantelle , my name is Rhiannon and your name is Toni . So his name is [MASK] .",Noah
"his name is Harvey , her name is Paige , my name is Erin and your name is Charlotte . So his name is [MASK] .",Harvey
"his name is Corey , her name is Courtney , my name is Callie and your name is Alana . So his name is [MASK] .",Corey
"his name is Bailey , her name is Morgan , my name is Aria and your name is Peter . So his name is [MASK] .",Bailey
"his name is Hayden , her name is Georgia , my name is Michael and your name is Sandra . So his name is [MASK] .",Hayden
"his name is Caleb , her name is Ellen , my name is Tommy and your name is David . So his name is [MASK] .",Caleb
"his name is Mason , her name is Isla , my name is Molly and your name is Aidan . So his name is [MASK] .",Mason
"his name is Harrison , her name is Ellie , my name is George and your name is Ollie . So his name is [MASK] .",Harrison
"his name is Riley , her name is Niamh , my name is Donna and your name is Anne . So his name is [MASK] .",Riley
"his name is Muhammad , her name is Rhiannon , my name is Kirsteen and your name is Suzanne . So his name is [MASK] .",Muhammad
"his name is Oscar , her name is Caitlyn , my name is Stephen and your name is Edward . So his name is [MASK] .",Oscar
"his name is Isaac , her name is Carla , my name is Brody and your name is Keira . So his name is [MASK] .",Isaac
"his name is Cody , her name is Ciara , my name is Caroline and your name is Emma . So his name is [MASK] .",Cody
"his name is Jude , her name is Meghan , my name is Faith and your name is Keiran . So his name is [MASK] .",Jude
"his name is Cooper , her name is Kaitlyn , my name is Kara and your name is Florence . So his name is [MASK] .",Cooper
"his name is Jackson , her name is Lauryn , my name is Wendy and your name is Leo . So his name is [MASK] .",Jackson
"his name is Zac , her name is Brooke , my name is Nieve and your name is Teddy . So his name is [MASK] .",Zac
"his name is Blake , her name is Ailsa , my name is Hunter and your name is Joe . So his name is [MASK] .",Blake
"his name is Shay , her name is Jasmine , my name is Norman and your name is Deborah . So his name is [MASK] .",Shay
"his name is Theo , her name is Skye , my name is Ruairidh and your name is Murray . So his name is [MASK] .",Theo
"his name is Freddie , her name is Kiera , my name is Gabriel and your name is Grant . So his name is [MASK] .",Freddie
"his name is Carson , her name is Eva , my name is Paul and your name is Nicholas . So his name is [MASK] .",Carson
"his name is Elliot , her name is Rosie , my name is Dale and your name is Orla . So his name is [MASK] .",Elliot
"his name is Sonny , her name is Zara , my name is Evan and your name is Samuel . So his name is [MASK] .",Sonny
"his name is Carter , her name is Kayla , my name is Nova and your name is Naomi . So his name is [MASK] .",Carter
"his name is Arthur , her name is Alex , my name is Katie and your name is Jason . So his name is [MASK] .",Arthur
"his name is Hunter , her name is Charlie , my name is Ayda and your name is Stacey . So his name is [MASK] .",Hunter
"his name is Grayson , her name is Millie , my name is Kristopher and your name is Ashley . So his name is [MASK] .",Grayson
"his name is Elijah , her name is Lily , my name is Caroline and your name is Morven . So his name is [MASK] .",Elijah
"his name is Tommy , her name is Orla , my name is Nicholas and your name is Siobhan . So his name is [MASK] .",Tommy
"his name is Frankie , her name is Ava , my name is Fraser and your name is Rowan . So his name is [MASK] .",Frankie
"his name is Gabriel , her name is Elise , my name is Rose and your name is Morag . So his name is [MASK] .",Gabriel
"his name is Louie , her name is Keira , my name is Louie and your name is Kylie . So his name is [MASK] .",Louie
"his name is Theodore , her name is Neve , my name is Wayne and your name is Jessica . So his name is [MASK] .",Theodore
"his name is Ellis , her name is Madison , my name is Suzanne and your name is Alba . So his name is [MASK] .",Ellis
"his name is Roman , her name is Abi , my name is Ross and your name is Meghan . So his name is [MASK] .",Roman
"his name is Joey , her name is Abbi , my name is Joseph and your name is Madison . So his name is [MASK] .",Joey
"his name is Teddy , her name is Ruby , my name is Carter and your name is Jennifer . So his name is [MASK] .",Teddy
