sentence,answer
"Daniel feels happy , Mary feels sad , Joe feels angry and Sarah feels bored . How does Daniel feel [MASK] .",happy
"Daniel feels happy , Mary feels sad , Joe feels angry and Sarah feels scared . How does Daniel feel [MASK] .",happy
"Daniel feels happy , Mary feels sad , Joe feels angry and Sarah feels confused . How does Daniel feel [MASK] .",happy
"Daniel feels happy , Mary feels sad , Joe feels angry and Sarah feels anxious . How does Daniel feel [MASK] .",happy
"Daniel feels happy , Mary feels sad , Joe feels bored and Sarah feels angry . How does Daniel feel [MASK] .",happy
"Daniel feels happy , Mary feels sad , Joe feels bored and Sarah feels scared . How does Daniel feel [MASK] .",happy
"Daniel feels happy , Mary feels sad , Joe feels bored and Sarah feels confused . How does Daniel feel [MASK] .",happy
"Daniel feels happy , Mary feels sad , Joe feels bored and Sarah feels anxious . How does Daniel feel [MASK] .",happy
"Daniel feels happy , Mary feels sad , Joe feels scared and Sarah feels angry . How does Daniel feel [MASK] .",happy
"Daniel feels happy , Mary feels sad , Joe feels scared and Sarah feels bored . How does Daniel feel [MASK] .",happy
"Daniel feels happy , Mary feels sad , Joe feels scared and Sarah feels confused . How does Daniel feel [MASK] .",happy
"Daniel feels happy , Mary feels sad , Joe feels scared and Sarah feels anxious . How does Daniel feel [MASK] .",happy
"Daniel feels happy , Mary feels sad , Joe feels confused and Sarah feels angry . How does Daniel feel [MASK] .",happy
"Daniel feels happy , Mary feels sad , Joe feels confused and Sarah feels bored . How does Daniel feel [MASK] .",happy
"Daniel feels happy , Mary feels sad , Joe feels confused and Sarah feels scared . How does Daniel feel [MASK] .",happy
"Daniel feels happy , Mary feels sad , Joe feels confused and Sarah feels anxious . How does Daniel feel [MASK] .",happy
"Daniel feels happy , Mary feels sad , Joe feels anxious and Sarah feels angry . How does Daniel feel [MASK] .",happy
"Daniel feels happy , Mary feels sad , Joe feels anxious and Sarah feels bored . How does Daniel feel [MASK] .",happy
"Daniel feels happy , Mary feels sad , Joe feels anxious and Sarah feels scared . How does Daniel feel [MASK] .",happy
"Daniel feels happy , Mary feels sad , Joe feels anxious and Sarah feels confused . How does Daniel feel [MASK] .",happy
"Daniel feels happy , Mary feels angry , Joe feels sad and Sarah feels bored . How does Daniel feel [MASK] .",happy
"Daniel feels happy , Mary feels angry , Joe feels sad and Sarah feels scared . How does Daniel feel [MASK] .",happy
"Daniel feels happy , Mary feels angry , Joe feels sad and Sarah feels confused . How does Daniel feel [MASK] .",happy
"Daniel feels happy , Mary feels angry , Joe feels sad and Sarah feels anxious . How does Daniel feel [MASK] .",happy
"Daniel feels happy , Mary feels angry , Joe feels bored and Sarah feels sad . How does Daniel feel [MASK] .",happy
"Daniel feels happy , Mary feels angry , Joe feels bored and Sarah feels scared . How does Daniel feel [MASK] .",happy
"Daniel feels happy , Mary feels angry , Joe feels bored and Sarah feels confused . How does Daniel feel [MASK] .",happy
"Daniel feels happy , Mary feels angry , Joe feels bored and Sarah feels anxious . How does Daniel feel [MASK] .",happy
"Daniel feels happy , Mary feels angry , Joe feels scared and Sarah feels sad . How does Daniel feel [MASK] .",happy
"Daniel feels happy , Mary feels angry , Joe feels scared and Sarah feels bored . How does Daniel feel [MASK] .",happy
"Daniel feels happy , Mary feels angry , Joe feels scared and Sarah feels confused . How does Daniel feel [MASK] .",happy
"Daniel feels happy , Mary feels angry , Joe feels scared and Sarah feels anxious . How does Daniel feel [MASK] .",happy
"Daniel feels happy , Mary feels angry , Joe feels confused and Sarah feels sad . How does Daniel feel [MASK] .",happy
"Daniel feels happy , Mary feels angry , Joe feels confused and Sarah feels bored . How does Daniel feel [MASK] .",happy
"Daniel feels happy , Mary feels angry , Joe feels confused and Sarah feels scared . How does Daniel feel [MASK] .",happy
"Daniel feels happy , Mary feels angry , Joe feels confused and Sarah feels anxious . How does Daniel feel [MASK] .",happy
"Daniel feels happy , Mary feels angry , Joe feels anxious and Sarah feels sad . How does Daniel feel [MASK] .",happy
"Daniel feels happy , Mary feels angry , Joe feels anxious and Sarah feels bored . How does Daniel feel [MASK] .",happy
"Daniel feels happy , Mary feels angry , Joe feels anxious and Sarah feels scared . How does Daniel feel [MASK] .",happy
"Daniel feels happy , Mary feels angry , Joe feels anxious and Sarah feels confused . How does Daniel feel [MASK] .",happy
"Daniel feels happy , Mary feels bored , Joe feels sad and Sarah feels angry . How does Daniel feel [MASK] .",happy
"Daniel feels happy , Mary feels bored , Joe feels sad and Sarah feels scared . How does Daniel feel [MASK] .",happy
