sentence,answer
"Alice is married to Taylor , and Ann is married to Valerie . So Taylor is the partner of [MASK] .",Alice
"Katherine is married to Naomi , and Marie is married to Shaun . So Naomi is the partner of [MASK] .",Katherine
"Ellen is married to Alexis , and Amelia is married to Gavin . So Alexis is the partner of [MASK] .",Ellen
"Craig is married to Lara , and Aurora is married to Connor . So Lara is the partner of [MASK] .",Craig
"Autumn is married to Kate , and Patricia is married to Deborah . So Kate is the partner of [MASK] .",Autumn
"Sonny is married to Abby , and Katie is married to Duncan . So Abby is the partner of [MASK] .",Sonny
"Diane is married to Simon , and Russell is married to Olivia . So Simon is the partner of [MASK] .",Diane
"Henry is married to Hunter , and Hanna is married to Tracy . So Hunter is the partner of [MASK] .",Henry
"Lily is married to Lynn , and Lewis is married to Sophia . So Lynn is the partner of [MASK] .",Lily
"Ruby is married to Sarah , and Carson is married to Brian . So Sarah is the partner of [MASK] .",Ruby
"Dawn is married to Rose , and Mary is married to Patrick . So Rose is the partner of [MASK] .",Dawn
"Donna is married to Charlie , and Jade is married to Katrina . So Charlie is the partner of [MASK] .",Donna
"Grant is married to Nicholas , and Jacob is married to Dawn . So Nicholas is the partner of [MASK] .",Grant
"Kimberly is married to Sarah , and Bryan is married to Marion . So Sarah is the partner of [MASK] .",Kimberly
"Luna is married to Ben , and Louie is married to Max . So Ben is the partner of [MASK] .",Luna
"Bella is married to Christopher , and Stephen is married to Edward . So Christopher is the partner of [MASK] .",Bella
"Lisa is married to Marion , and Lucas is married to Anthony . So Marion is the partner of [MASK] .",Lisa
"Victoria is married to Carrie , and Paula is married to Alexandra . So Carrie is the partner of [MASK] .",Victoria
"Bruce is married to Susan , and Rory is married to Jenna . So Susan is the partner of [MASK] .",Bruce
"Rebecca is married to Rosa , and Molly is married to Alan . So Rosa is the partner of [MASK] .",Rebecca
"Arthur is married to Carly , and Thomas is married to Timothy . So Carly is the partner of [MASK] .",Arthur
"Harrison is married to Joshua , and Luke is married to Anna . So Joshua is the partner of [MASK] .",Harrison
"Indie is married to Willow , and Finn is married to Suzanne . So Willow is the partner of [MASK] .",Indie
"Morgan is married to Audrey , and Paula is married to Noah . So Audrey is the partner of [MASK] .",Morgan
"Angela is married to Jacob , and Melanie is married to Gerard . So Jacob is the partner of [MASK] .",Angela
"Leon is married to Josh , and Emily is married to Angus . So Josh is the partner of [MASK] .",Leon
"Rory is married to Molly , and Daisy is married to Zoe . So Molly is the partner of [MASK] .",Rory
"Taylor is married to Rachel , and Nikki is married to Heather . So Rachel is the partner of [MASK] .",Taylor
"Derek is married to Sam , and Harper is married to Graham . So Sam is the partner of [MASK] .",Derek
"Conor is married to Victoria , and Shelley is married to Muhammad . So Victoria is the partner of [MASK] .",Conor
"Neil is married to Wesley , and Hope is married to Alex . So Wesley is the partner of [MASK] .",Neil
"Charlotte is married to Courtney , and Noah is married to Theo . So Courtney is the partner of [MASK] .",Charlotte
"Georgia is married to Daisy , and Elijah is married to Benjamin . So Daisy is the partner of [MASK] .",Georgia
"Pamela is married to Jennifer , and Sandra is married to Ruth . So Jennifer is the partner of [MASK] .",Pamela
"Shirley is married to Kate , and Calvin is married to Kyle . So Kate is the partner of [MASK] .",Shirley
"Donald is married to Kevin , and Katherine is married to Gareth . So Kevin is the partner of [MASK] .",Donald
"Cheryl is married to Lilly , and Gary is married to Alison . So Lilly is the partner of [MASK] .",Cheryl
"Joseph is married to Barbara , and Bryan is married to Rebecca . So Barbara is the partner of [MASK] .",Joseph
"Sophia is married to Leo , and Lisa is married to Hope . So Leo is the partner of [MASK] .",Sophia
"Andrea is married to Jill , and Harper is married to Mark . So Jill is the partner of [MASK] .",Andrea
"Robert is married to Louie , and Evan is married to Katrina . So Louie is the partner of [MASK] .",Robert
"Hanna is married to Piper , and Kathryn is married to David . So Piper is the partner of [MASK] .",Hanna
"Indie is married to Jackson , and Robbie is married to Grace . So Jackson is the partner of [MASK] .",Indie
"Ivy is married to Ronald , and Arthur is married to Freddie . So Ronald is the partner of [MASK] .",Ivy
"Logan is married to Carson , and Bruce is married to Noah . So Carson is the partner of [MASK] .",Logan
"Muhammad is married to Ellie , and Julia is married to Harley . So Ellie is the partner of [MASK] .",Muhammad
"Cooper is married to Dylan , and Audrey is married to Alex . So Dylan is the partner of [MASK] .",Cooper
"Joey is married to Jessica , and Marcus is married to Lucas . So Jessica is the partner of [MASK] .",Joey
"Chloe is married to Jackson , and Alex is married to Frances . So Jackson is the partner of [MASK] .",Chloe
"Edward is married to Ivy , and Patricia is married to Daryl . So Ivy is the partner of [MASK] .",Edward
"Thomas is married to Logan , and Gareth is married to Adrian . So Logan is the partner of [MASK] .",Thomas
"Ellen is married to Emily , and Mary is married to Alex . So Emily is the partner of [MASK] .",Ellen
"Bradley is married to Casey , and Clare is married to Logan . So Casey is the partner of [MASK] .",Bradley
"Natalie is married to Rosa , and Helen is married to Luke . So Rosa is the partner of [MASK] .",Natalie
"Roman is married to Harvey , and Alex is married to Eric . So Harvey is the partner of [MASK] .",Roman
"Theo is married to Norman , and Corey is married to Janet . So Norman is the partner of [MASK] .",Theo
"Luke is married to Garry , and Summer is married to Louie . So Garry is the partner of [MASK] .",Luke
"Jane is married to Leigh , and Erin is married to Tommy . So Leigh is the partner of [MASK] .",Jane
"Brooke is married to Taylor , and Carly is married to Hayden . So Taylor is the partner of [MASK] .",Brooke
"Allan is married to Norman , and Victoria is married to Marc . So Norman is the partner of [MASK] .",Allan
"Denise is married to Lauren , and Blake is married to Ethan . So Lauren is the partner of [MASK] .",Denise
"Morgan is married to Hayden , and Angela is married to Caleb . So Hayden is the partner of [MASK] .",Morgan
"Roman is married to Lena , and Henry is married to George . So Lena is the partner of [MASK] .",Roman
"Jamie is married to Brian , and Lauren is married to Alison . So Brian is the partner of [MASK] .",Jamie
"Amelia is married to Rory , and Campbell is married to Roman . So Rory is the partner of [MASK] .",Amelia
"Elise is married to Ruth , and Rebecca is married to Keith . So Ruth is the partner of [MASK] .",Elise
"Mitchell is married to Jon , and Sonny is married to Dawn . So Jon is the partner of [MASK] .",Mitchell
"Corey is married to Sophie , and Julia is married to Audrey . So Sophie is the partner of [MASK] .",Corey
"James is married to Christina , and Florence is married to Stephen . So Christina is the partner of [MASK] .",James
"Leo is married to Connor , and Sara is married to Elijah . So Connor is the partner of [MASK] .",Leo
"Molly is married to Dale , and Tommy is married to Oliver . So Dale is the partner of [MASK] .",Molly
"Paula is married to Douglas , and Riley is married to Barry . So Douglas is the partner of [MASK] .",Paula
"Cole is married to Ben , and Madison is married to Jay . So Ben is the partner of [MASK] .",Cole
"Mia is married to Evan , and Andrew is married to Anne . So Evan is the partner of [MASK] .",Mia
"Campbell is married to Aaron , and Alan is married to Katherine . So Aaron is the partner of [MASK] .",Campbell
"Owen is married to Carolyn , and Jill is married to John . So Carolyn is the partner of [MASK] .",Owen
"Alan is married to Peter , and Simon is married to Danielle . So Peter is the partner of [MASK] .",Alan
"Caleb is married to Christopher , and Eva is married to Carter . So Christopher is the partner of [MASK] .",Caleb
"Derek is married to Francis , and Lee is married to Philip . So Francis is the partner of [MASK] .",Derek
"Lewis is married to Ryan , and Jordan is married to Elaine . So Ryan is the partner of [MASK] .",Lewis
"Kerry is married to Zoe , and Harley is married to Eric . So Zoe is the partner of [MASK] .",Kerry
"Sophia is married to Peter , and Nicholas is married to Lee . So Peter is the partner of [MASK] .",Sophia
"Connor is married to Rebecca , and Amelia is married to Isaac . So Rebecca is the partner of [MASK] .",Connor
"Chelsea is married to Violet , and Sandra is married to Steven . So Violet is the partner of [MASK] .",Chelsea
"Tracy is married to Morgan , and Kate is married to Christina . So Morgan is the partner of [MASK] .",Tracy
"Shannon is married to Neil , and Wendy is married to Madison . So Neil is the partner of [MASK] .",Shannon
"Finn is married to Ethan , and Joseph is married to Mohammed . So Ethan is the partner of [MASK] .",Finn
"Ruth is married to Lena , and Hanna is married to Muhammad . So Lena is the partner of [MASK] .",Ruth
"Lindsey is married to Joseph , and Joe is married to Mason . So Joseph is the partner of [MASK] .",Lindsey
"Kerry is married to Hanna , and Kevin is married to Martin . So Hanna is the partner of [MASK] .",Kerry
"Cheryl is married to Lois , and Gavin is married to Nina . So Lois is the partner of [MASK] .",Cheryl
"Jennifer is married to Carson , and Christine is married to Roy . So Carson is the partner of [MASK] .",Jennifer
"Christopher is married to Louise , and Carter is married to Colin . So Louise is the partner of [MASK] .",Christopher
"Philip is married to Megan , and Donna is married to Ellis . So Megan is the partner of [MASK] .",Philip
"Claire is married to Lynn , and Stacy is married to Timothy . So Lynn is the partner of [MASK] .",Claire
"Evan is married to Barry , and Neil is married to Caleb . So Barry is the partner of [MASK] .",Evan
"Emily is married to Kerry , and Holly is married to Sara . So Kerry is the partner of [MASK] .",Emily
"Jack is married to Charles , and Ivy is married to Louie . So Charles is the partner of [MASK] .",Jack
"Cody is married to Gavin , and Bryan is married to Luna . So Gavin is the partner of [MASK] .",Cody
"Andrew is married to Charles , and Elise is married to Chelsea . So Charles is the partner of [MASK] .",Andrew
"Elise is married to Zac , and Kai is married to Heidi . So Zac is the partner of [MASK] .",Elise
