sentence,answer
Jack feels sad . How does Jack feels [MASK] .,sad
Sarah feels sad . How does Sarah feels [MASK] .,sad
Mary feels confused . How does Mary feels [MASK] .,confused
Alex feels confused . How does Alex feels [MASK] .,confused
Daniel feels happy . How does Daniel feels [MASK] .,happy
Jack feels confused . How does Jack feels [MASK] .,confused
Sarah feels sad . How does Sarah feels [MASK] .,sad
Alex feels confused . How does Alex feels [MASK] .,confused
Sam feels angry . How does Sam feels [MASK] .,angry
Jack feels anxious . How does Jack feels [MASK] .,anxious
Daniel feels sad . How does Daniel feels [MASK] .,sad
Alex feels scared . How does Alex feels [MASK] .,scared
Sarah feels sad . How does Sarah feels [MASK] .,sad
Alex feels bored . How does Alex feels [MASK] .,bored
Jack feels happy . How does Jack feels [MASK] .,happy
Daniel feels confused . How does Daniel feels [MASK] .,confused
Daniel feels anxious . How does Daniel feels [MASK] .,anxious
Sam feels scared . How does Sam feels [MASK] .,scared
Mary feels angry . How does Mary feels [MASK] .,angry
Sarah feels angry . How does Sarah feels [MASK] .,angry
Alex feels happy . How does Alex feels [MASK] .,happy
Joe feels sad . How does Joe feels [MASK] .,sad
Mary feels confused . How does Mary feels [MASK] .,confused
Daniel feels scared . How does Daniel feels [MASK] .,scared
Alex feels sad . How does Alex feels [MASK] .,sad
Alex feels confused . How does Alex feels [MASK] .,confused
Alex feels confused . How does Alex feels [MASK] .,confused
Sarah feels anxious . How does Sarah feels [MASK] .,anxious
Alex feels angry . How does Alex feels [MASK] .,angry
Mary feels anxious . How does Mary feels [MASK] .,anxious
Daniel feels angry . How does Daniel feels [MASK] .,angry
Alex feels confused . How does Alex feels [MASK] .,confused
Sam feels anxious . How does Sam feels [MASK] .,anxious
Mary feels happy . How does Mary feels [MASK] .,happy
Mary feels happy . How does Mary feels [MASK] .,happy
Mary feels bored . How does Mary feels [MASK] .,bored
Sarah feels angry . How does Sarah feels [MASK] .,angry
Alex feels bored . How does Alex feels [MASK] .,bored
Sarah feels scared . How does Sarah feels [MASK] .,scared
Daniel feels confused . How does Daniel feels [MASK] .,confused
Mary feels confused . How does Mary feels [MASK] .,confused
Jack feels happy . How does Jack feels [MASK] .,happy
Alex feels sad . How does Alex feels [MASK] .,sad
Sam feels anxious . How does Sam feels [MASK] .,anxious
Mary feels bored . How does Mary feels [MASK] .,bored
Mary feels anxious . How does Mary feels [MASK] .,anxious
Sam feels sad . How does Sam feels [MASK] .,sad
Daniel feels scared . How does Daniel feels [MASK] .,scared
Joe feels scared . How does Joe feels [MASK] .,scared
Daniel feels confused . How does Daniel feels [MASK] .,confused
Alex feels scared . How does Alex feels [MASK] .,scared
Jack feels scared . How does Jack feels [MASK] .,scared
Mary feels bored . How does Mary feels [MASK] .,bored
Alex feels scared . How does Alex feels [MASK] .,scared
Joe feels happy . How does Joe feels [MASK] .,happy
Daniel feels angry . How does Daniel feels [MASK] .,angry
Jack feels bored . How does Jack feels [MASK] .,bored
Mary feels sad . How does Mary feels [MASK] .,sad
Daniel feels scared . How does Daniel feels [MASK] .,scared
Sarah feels bored . How does Sarah feels [MASK] .,bored
Sarah feels confused . How does Sarah feels [MASK] .,confused
Alex feels bored . How does Alex feels [MASK] .,bored
Sam feels sad . How does Sam feels [MASK] .,sad
Jack feels scared . How does Jack feels [MASK] .,scared
Alex feels scared . How does Alex feels [MASK] .,scared
Mary feels confused . How does Mary feels [MASK] .,confused
Jack feels angry . How does Jack feels [MASK] .,angry
Jack feels scared . How does Jack feels [MASK] .,scared
Sam feels angry . How does Sam feels [MASK] .,angry
Sam feels confused . How does Sam feels [MASK] .,confused
Sarah feels anxious . How does Sarah feels [MASK] .,anxious
Sam feels sad . How does Sam feels [MASK] .,sad
Mary feels scared . How does Mary feels [MASK] .,scared
Jack feels anxious . How does Jack feels [MASK] .,anxious
Alex feels confused . How does Alex feels [MASK] .,confused
Sam feels bored . How does Sam feels [MASK] .,bored
Sam feels sad . How does Sam feels [MASK] .,sad
Jack feels confused . How does Jack feels [MASK] .,confused
Mary feels happy . How does Mary feels [MASK] .,happy
Daniel feels confused . How does Daniel feels [MASK] .,confused
Mary feels confused . How does Mary feels [MASK] .,confused
Daniel feels bored . How does Daniel feels [MASK] .,bored
Alex feels scared . How does Alex feels [MASK] .,scared
Sam feels sad . How does Sam feels [MASK] .,sad
Jack feels happy . How does Jack feels [MASK] .,happy
Sarah feels anxious . How does Sarah feels [MASK] .,anxious
Sarah feels sad . How does Sarah feels [MASK] .,sad
Sarah feels sad . How does Sarah feels [MASK] .,sad
Mary feels sad . How does Mary feels [MASK] .,sad
Daniel feels angry . How does Daniel feels [MASK] .,angry
Alex feels anxious . How does Alex feels [MASK] .,anxious
Alex feels scared . How does Alex feels [MASK] .,scared
Joe feels happy . How does Joe feels [MASK] .,happy
Daniel feels confused . How does Daniel feels [MASK] .,confused
Joe feels scared . How does Joe feels [MASK] .,scared
Joe feels confused . How does Joe feels [MASK] .,confused
Jack feels confused . How does Jack feels [MASK] .,confused
Joe feels happy . How does Joe feels [MASK] .,happy
Daniel feels happy . How does Daniel feels [MASK] .,happy
Sam feels bored . How does Sam feels [MASK] .,bored
Sam feels happy . How does Sam feels [MASK] .,happy
Mary feels sad . How does Mary feels [MASK] .,sad
Alex feels scared . How does Alex feels [MASK] .,scared
Mary feels anxious . How does Mary feels [MASK] .,anxious
Alex feels bored . How does Alex feels [MASK] .,bored
Daniel feels scared . How does Daniel feels [MASK] .,scared
Mary feels scared . How does Mary feels [MASK] .,scared
Joe feels confused . How does Joe feels [MASK] .,confused
Jack feels anxious . How does Jack feels [MASK] .,anxious
Sarah feels angry . How does Sarah feels [MASK] .,angry
Joe feels scared . How does Joe feels [MASK] .,scared
Daniel feels confused . How does Daniel feels [MASK] .,confused
Sam feels happy . How does Sam feels [MASK] .,happy
Sam feels happy . How does Sam feels [MASK] .,happy
Joe feels happy . How does Joe feels [MASK] .,happy
Sam feels scared . How does Sam feels [MASK] .,scared
Sam feels sad . How does Sam feels [MASK] .,sad
Sarah feels confused . How does Sarah feels [MASK] .,confused
Sarah feels scared . How does Sarah feels [MASK] .,scared
Alex feels happy . How does Alex feels [MASK] .,happy
Sarah feels sad . How does Sarah feels [MASK] .,sad
Daniel feels happy . How does Daniel feels [MASK] .,happy
Daniel feels confused . How does Daniel feels [MASK] .,confused
Sarah feels happy . How does Sarah feels [MASK] .,happy
Jack feels angry . How does Jack feels [MASK] .,angry
Daniel feels anxious . How does Daniel feels [MASK] .,anxious
Sarah feels bored . How does Sarah feels [MASK] .,bored
Jack feels angry . How does Jack feels [MASK] .,angry
Jack feels anxious . How does Jack feels [MASK] .,anxious
Daniel feels bored . How does Daniel feels [MASK] .,bored
Mary feels happy . How does Mary feels [MASK] .,happy
Alex feels happy . How does Alex feels [MASK] .,happy
Mary feels scared . How does Mary feels [MASK] .,scared
Daniel feels sad . How does Daniel feels [MASK] .,sad
Daniel feels bored . How does Daniel feels [MASK] .,bored
Joe feels anxious . How does Joe feels [MASK] .,anxious
Jack feels scared . How does Jack feels [MASK] .,scared
Sarah feels happy . How does Sarah feels [MASK] .,happy
Sarah feels confused . How does Sarah feels [MASK] .,confused
Alex feels sad . How does Alex feels [MASK] .,sad
Daniel feels scared . How does Daniel feels [MASK] .,scared
Alex feels angry . How does Alex feels [MASK] .,angry
